"site","rep","month","dry_weight","after_ignition","afdm","stt","tourist_season"
"BD",1,"june",1.6401,1.6209,0.0191999999999999,"decentralized","In Season"
"FLBS",1,"june",1.9629,1.9628,9.9999999999989e-05,"centralized","In Season"
"YB",1,"june",1.2214,1.2183,0.0031000000000001,"centralized","In Season"
"BB",1,"june",0.9669,0.9664,0.000499999999999945,"decentralized","In Season"
"FI",1,"june",1.2852,1.284,0.00119999999999987,"decentralized","In Season"
"BO",1,"june",1.6636,1.6548,0.00879999999999992,"decentralized","In Season"
"SA",1,"june",1.53,1.5293,0.000699999999999923,"decentralized","In Season"
"WF",1,"july",2.388,2.3873,0.000699999999999701,"centralized","In Season"
"WB",1,"july",1.0898,1.0747,0.0151000000000001,"decentralized","In Season"
"BD",1,"july",1.2165,1.2156,0.000899999999999901,"decentralized","In Season"
"FLBS",1,"july",1.3446,1.3441,0.000499999999999945,"centralized","In Season"
"YB",1,"july",1.5901,1.5876,0.00250000000000017,"centralized","In Season"
"BB",1,"july",1.1881,1.1861,0.002,"decentralized","In Season"
"FI",1,"july",1.5258,1.5239,0.00190000000000001,"decentralized","In Season"
"BO",1,"july",2.5115,2.5035,0.00800000000000001,"decentralized","In Season"
"SA",1,"july",1.3028,1.2974,0.00539999999999985,"decentralized","In Season"
"SJ",1,"july",1.5516,1.5511,0.000500000000000167,"decentralized","In Season"
"DA",1,"august",1.6003,1.5978,0.00249999999999995,"decentralized","In Season"
"WS",1,"august",1.5495,1.5474,0.00209999999999999,"decentralized","In Season"
"LK",1,"august",1.6254,1.6247,0.000699999999999923,"decentralized","In Season"
"WF",1,"august",1.8811,1.8778,0.00330000000000008,"centralized","In Season"
"WB",1,"august",1.6565,1.6539,0.00260000000000016,"decentralized","In Season"
"BD",1,"august",1.645,1.6429,0.00209999999999999,"decentralized","In Season"
"FLBS",1,"august",1.5947,1.5947,0,"centralized","In Season"
"YB",1,"august",1.8082,1.8062,0.002,"centralized","In Season"
"BB",1,"august",2.0855,2.0789,0.00660000000000016,"decentralized","In Season"
"FI",1,"august",1.9029,1.904,-0.00109999999999988,"decentralized","In Season"
"BO",1,"august",1.8741,1.8649,0.0092000000000001,"decentralized","In Season"
"SA",1,"august",1.926,1.9194,0.00659999999999994,"decentralized","In Season"
"SJ",1,"august",1.6454,NA,NA,"decentralized","In Season"
"DA",1,"september",1.7146,1.7139,0.000699999999999923,"decentralized","Out of Season"
"WS",1,"september",1.6999,1.6972,0.00269999999999992,"decentralized","Out of Season"
"LK",1,"september",1.7402,1.7399,0.000299999999999967,"decentralized","Out of Season"
"WF",1,"september",1.6949,1.6947,0.000199999999999978,"centralized","Out of Season"
"WB",1,"september",1.6979,1.6941,0.00380000000000003,"decentralized","Out of Season"
"BD",1,"september",1.8791,1.8754,0.00370000000000004,"decentralized","Out of Season"
"FLBS",1,"september",1.4644,1.4639,0.000499999999999945,"centralized","Out of Season"
"YB",1,"september",1.7048,1.6924,0.0124000000000002,"centralized","Out of Season"
"FI",1,"september",1.7013,1.6994,0.00190000000000001,"decentralized","Out of Season"
"BO",1,"september",1.7322,1.7289,0.00329999999999986,"decentralized","Out of Season"
"SA",1,"september",1.9211,1.9136,0.00750000000000006,"decentralized","Out of Season"
"SJ",1,"september",1.8298,1.8265,0.00330000000000008,"decentralized","Out of Season"
"BD",2,"june",1.3448,1.331,0.0138,"decentralized","In Season"
"FLBS",2,"june",1.2402,1.2391,0.00109999999999988,"centralized","In Season"
"YB",2,"june",1.1428,1.1407,0.00209999999999999,"centralized","In Season"
"BB",2,"june",0.9386,0.9372,0.00139999999999996,"decentralized","In Season"
"FI",2,"june",2.1047,2.1024,0.00229999999999997,"decentralized","In Season"
"BO",2,"june",1.1973,1.1906,0.00669999999999993,"decentralized","In Season"
"SA",2,"june",1.3354,1.334,0.00139999999999985,"decentralized","In Season"
"WF",2,"july",2.5568,2.554,0.00280000000000014,"centralized","In Season"
"WB",2,"july",1.1961,1.1938,0.00229999999999997,"decentralized","In Season"
"BD",2,"july",1.2381,1.2351,0.00299999999999989,"decentralized","In Season"
"FLBS",2,"july",1.5526,1.5503,0.00229999999999997,"centralized","In Season"
"YB",2,"july",1.6518,1.6466,0.00519999999999987,"centralized","In Season"
"BB",2,"july",1.3083,1.3046,0.00370000000000004,"decentralized","In Season"
"FI",2,"july",1.623,1.6229,9.9999999999989e-05,"decentralized","In Season"
"BO",2,"july",2.7836,2.7814,0.00219999999999976,"decentralized","In Season"
"SA",2,"july",1.3096,1.3049,0.00470000000000015,"decentralized","In Season"
"SJ",2,"july",1.6332,1.6302,0.00299999999999989,"decentralized","In Season"
"DA",2,"august",1.6661,1.659,0.00709999999999988,"decentralized","In Season"
"WS",2,"august",1.5375,1.526,0.0115000000000001,"decentralized","In Season"
"LK",2,"august",1.4964,1.4962,0.000199999999999978,"decentralized","In Season"
"WF",2,"august",1.74,1.7356,0.00439999999999996,"centralized","In Season"
"WB",2,"august",1.6536,1.6526,0.00099999999999989,"decentralized","In Season"
"BD",2,"august",1.6134,1.6095,0.00390000000000001,"decentralized","In Season"
"FLBS",2,"august",1.624,1.6229,0.0011000000000001,"centralized","In Season"
"YB",2,"august",1.7187,1.7139,0.00479999999999992,"centralized","In Season"
"BB",2,"august",2.1738,2.1629,0.0108999999999999,"decentralized","In Season"
"FI",2,"august",2.1073,2.0811,0.0261999999999998,"decentralized","In Season"
"BO",2,"august",1.6185,1.6128,0.00570000000000004,"decentralized","In Season"
"SA",2,"august",1.9247,1.9104,0.0143,"decentralized","In Season"
"SJ",2,"august",1.8455,1.8422,0.00329999999999986,"decentralized","In Season"
"DA",2,"september",2.0041,2.0024,0.00170000000000003,"decentralized","Out of Season"
"WS",2,"september",1.575,1.5738,0.00119999999999987,"decentralized","Out of Season"
"LK",2,"september",1.5478,1.5468,0.00100000000000011,"decentralized","Out of Season"
"WF",2,"september",1.9061,1.9025,0.00359999999999983,"centralized","Out of Season"
"WB",2,"september",1.6395,1.6348,0.00469999999999993,"decentralized","Out of Season"
"BD",2,"september",1.7561,1.7418,0.0143,"decentralized","Out of Season"
"FLBS",2,"september",1.0778,1.0748,0.00300000000000011,"centralized","Out of Season"
"YB",2,"september",1.8349,1.8155,0.0194000000000001,"centralized","Out of Season"
"FI",2,"september",1.885,1.8833,0.00170000000000003,"decentralized","Out of Season"
"BO",2,"september",1.6828,1.6794,0.00340000000000007,"decentralized","Out of Season"
"SA",2,"september",1.7519,1.7501,0.00180000000000002,"decentralized","Out of Season"
"SJ",2,"september",1.9627,1.9587,0.00399999999999978,"decentralized","Out of Season"
"BD",3,"june",1.5158,1.498,0.0178,"decentralized","In Season"
"FLBS",3,"june",1.3402,1.3393,0.000900000000000123,"centralized","In Season"
"YB",3,"june",1.156,1.1533,0.00269999999999992,"centralized","In Season"
"BB",3,"june",1.0501,1.0491,0.00100000000000011,"decentralized","In Season"
"FI",3,"june",1.654,1.6518,0.00219999999999998,"decentralized","In Season"
"BO",3,"june",1.3925,1.3858,0.00670000000000015,"decentralized","In Season"
"SA",3,"june",1.2947,1.2922,0.00249999999999995,"decentralized","In Season"
"WF",3,"july",2.5369,2.5344,0.00249999999999995,"centralized","In Season"
"WB",3,"july",1.153,1.1457,0.00730000000000008,"decentralized","In Season"
"BD",3,"july",1.2128,1.2101,0.00270000000000015,"decentralized","In Season"
"FLBS",3,"july",1.1251,1.1216,0.00350000000000006,"centralized","In Season"
"YB",3,"july",1.8176,1.8103,0.00730000000000008,"centralized","In Season"
"BB",3,"july",1.3608,1.3579,0.0028999999999999,"decentralized","In Season"
"FI",3,"july",1.3999,1.3977,0.00219999999999998,"decentralized","In Season"
"BO",3,"july",2.3964,2.3932,0.00319999999999965,"decentralized","In Season"
"SA",3,"july",1.4023,1.3972,0.0051000000000001,"decentralized","In Season"
"SJ",3,"july",1.5067,1.5034,0.00329999999999986,"decentralized","In Season"
"DA",3,"august",1.6347,1.6267,0.00800000000000001,"decentralized","In Season"
"WS",3,"august",1.4888,1.4869,0.00189999999999979,"decentralized","In Season"
"LK",3,"august",1.5265,1.5264,9.9999999999989e-05,"decentralized","In Season"
"WF",3,"august",1.7644,1.7613,0.00309999999999988,"centralized","In Season"
"WB",3,"august",1.7694,1.767,0.00240000000000018,"decentralized","In Season"
"BD",3,"august",1.71,1.7095,0.000499999999999945,"decentralized","In Season"
"FLBS",3,"august",1.6324,1.6319,0.000500000000000167,"centralized","In Season"
"YB",3,"august",1.6838,1.6804,0.00340000000000007,"centralized","In Season"
"BB",3,"august",2.0256,2.0262,-0.000599999999999934,"decentralized","In Season"
"FI",3,"august",2.0625,2.06,0.00249999999999995,"decentralized","In Season"
"BO",3,"august",1.6304,1.628,0.00240000000000018,"decentralized","In Season"
"SA",3,"august",1.8159,1.8023,0.0136000000000001,"decentralized","In Season"
"SJ",3,"august",1.7181,1.716,0.00209999999999999,"decentralized","In Season"
"DA",3,"september",1.8102,1.808,0.00219999999999998,"decentralized","Out of Season"
"WS",3,"september",1.7591,1.7549,0.0042000000000002,"decentralized","Out of Season"
"LK",3,"september",1.6075,1.6039,0.00359999999999983,"decentralized","Out of Season"
"WF",3,"september",1.6775,1.6756,0.00190000000000001,"centralized","Out of Season"
"WB",3,"september",1.6936,1.6893,0.00429999999999997,"decentralized","Out of Season"
"BD",3,"september",1.72,1.7129,0.00709999999999988,"decentralized","Out of Season"
"FLBS",3,"september",1.0949,1.093,0.00190000000000001,"centralized","Out of Season"
"YB",3,"september",1.731,1.7161,0.0149000000000001,"centralized","Out of Season"
"FI",3,"september",1.7454,1.7397,0.00570000000000004,"decentralized","Out of Season"
"BO",3,"september",1.7961,1.7882,0.00790000000000002,"decentralized","Out of Season"
"SA",3,"september",1.8014,1.7989,0.00249999999999995,"decentralized","Out of Season"
"SJ",3,"september",1.6971,1.6931,0.004,"decentralized","Out of Season"
